"name","office","state","district","incumbent","representative","reference_name","reference_url"
"Chris Koster","governor","Missouri","","","","""Despite Greitens' surge, Koster remains the top money-raiser in battle for Missouri governor""","http://kcur.org/post/despite-greitens-surge-koster-remains-top-money-raiser-battle-missouri-governor"
"Steve Bullock","governor","Montana","","","","""Bullock's fundraising picks up for 2016 re-election""","http://www.bozemandailychronicle.com/news/politics/bullock-s-fundraising-picks-up-for-re-election/article_75760f46-96c9-11e4-93b5-7f31d2d6fbf8.html"
"Colin Van Ostern","governor","New Hampshire","","","","""Democrat Colin Van Ostern to run for governor""","http://www.wmur.com/politics/democrat-colin-van-ostern-to-run-for-governor/35716994"
"Roy Cooper","governor","North Carolina","","","","""Cooper: N.C. 'better than this'""","http://www.yourdailyjournal.com/news/home_top-localnews1/153542207/Cooper:-N.C.-better-than-this"
"Marvin Nelson","governor","North Dakota","","","","""North Dakota Rep. Marvin Nelson to join race for governor""","http://www.inforum.com/news/3986527-north-dakota-rep-marvin-nelson-join-race-governor?can_id=8c4c59aaca9cda0e0715706b23178adf&source=email-morning-digest-its-duckworth-vs-kirk-in-illinois&email_referrer=morning-digest-its-duckworth-vs-kirk-in-illinois&email_subject=morning-digest-its-duckworth-vs-kirk-in-illinois&link_id=20"
"Kate Brown","governor","Oregon","","","","""Governor Brown to Run in 2016""","http://www.eastoregonian.com/eo/local-news/20150918/governor-brown-to-run-for-re-election"
"Mike Weinholtz","governor","Utah","","","","""Weinholtz wins Dem nomination in Utah governor's race, says wife under investigation for pot possession""","http://www.sltrib.com/home/3811556-155/democratic-candidate-for-governor-mike-weinholtz"
"Sue Minter","governor","Vermont","","","","""Sue Minter to Run for Vermont Governor""","http://www.sevendaysvt.com/OffMessage/archives/2015/09/10/sue-minter-to-run-for-vermont-governor"
"Jay Inslee","governor","Washington","","","","""Gov. Inslee stages pricey reelection fundraiser in the wake of a bad news poll""","http://blog.seattlepi.com/seattlepolitics/2015/08/12/gov-inslee-stages-pricey-reelection-fundraiser-in-the-wake-of-a-bad-news-poll/"
"Jim Justice","governor","West Virginia","","","","""Jim Justice, West Virginia Billionaire, Launches Campaign for Governor""","http://www.wsj.com/articles/jim-justice-west-virginia-billionaire-launches-campaign-for-governor-1431380406?alg=y"
