"name","office","state","district","incumbent","representative","reference_name","reference_url"
"Bennie Thompson","house","Mississippi","2nd","","Bennie Thompson","""Mississippi Democrats field candidates in #MS01, #MS04; Thompson files for reelection in #MS02""","http://yallpolitics.com/index.php/yp/post/42970"
"Dennis Quinn","house","Mississippi","3rd","","Gregg Harper","""All four Mississippi House members will face challenger""","http://www.sunherald.com/news/politics-government/article53832835.html"
"Mark Gladney","house","Mississippi","4th","","Steven Palazzo","""Mississippi Democrats field candidates in #MS01, #MS04; Thompson files for reelection in #MS02""","http://yallpolitics.com/index.php/yp/post/42970"
"Lacy Clay","house","Missouri","1st","","Lacy Clay","""Congressman Lacy Clay filed for reelection today""","https://www.youtube.com/watch?v=gMVJqBQtR6U"
"Bill Otto","house","Missouri","2nd","","Ann Wagner","""Missouri Rep. Bill Otto plans to challenge U.S. Rep. Ann Wagner in 2016""","http://news.stlpublicradio.org/post/missouri-rep-bill-otto-plans-challenge-us-rep-ann-wagner-2016"
"Kevin Miller","house","Missouri","3rd","","Blaine Luetkemeyer","",""
"Gordon Christensen","house","Missouri","4th","","Vicky Hartzler","""Dr. Gordon Christensen Announces Congressional Campaign""","http://themissouritimes.com/24406/dr-gordon-christensen-announces-congressional-campaign"
"Emanuel Cleaver","house","Missouri","5th","","Emanuel Cleaver","""Cleaver for Congress""","https://www.facebook.com/CleaverForCongress"
"David Blackwell","house","Missouri","6th","","Sam Graves","""Travis Gonzalez for U.S. Representative Missouri 6th District 2016""","http://www.travis-gonzalez.com/Travis_Gonzalez_Campaign_Website_for_Public_Office/Home.html"
"Genevieve Williams","house","Missouri","7th","","Billy Long","",""
"Dave Cowell","house","Missouri","8th","","Jason Smith","",""
"Denise Juneau","house","Montana","at-large","","Ryan Zinke","""Denise Juneau launches campaign for Montana's U.S. House seat""","http://billingsgazette.com/news/local/government-and-politics/denise-juneau-launches-campaign-for-montana-s-u-s-house/article_559f8ac1-b5de-5959-bdb9-34f58dd3d5fe.htm"
"Daniel Wik","house","Nebraska","1st","","Jeff Fortenberry","""Norfolk physician to challenge Fortenberry for seat in Congress""","http://norfolkdailynews.com/news/norfolk-physician-to-challenge-fortenberry-for-seat-in-congress/article_db8ddaa8-da3d-11e5-9fa0-3b78661aa5dd.html"
"Brad Ashford","house","Nebraska","2nd","","Brad Ashford","""Brad Ashford's focusing on his work, he says, not cash for next election""","http://www.omaha.com/news/politics/ashford-s-focusing-on-his-work-he-says-not-cash/article_cabe835c-4dea-501c-8984-7496a7510745.html"
"Dina Titus","house","Nevada","1st","","Dina Titus","""Rep. Dina Titus On Running For Re-Election And Not The Senate""","http://knpr.org/knpr/2015-05/rep-dina-titus-running-re-election-and-not-senate"
"Chip Evans","house","Nevada","2nd","","Mark Amodei","""Liberal radio host Chip Evans runs for Nevada Congress seat""","http://www.rgj.com/story/news/politics/2016/01/05/liberal-radio-host-chip-evans-runs-nevada-congress-seat/78292600"
"Jacky Rosen","house","Nevada","3rd","","Joe Heck","""President of Henderson synagogue running for Congress""","http://lasvegassun.com/news/2016/jan/26/president-of-henderson-synagogue-running-for-congr"
"Ruben Kihuen","house","Nevada","4th","","Cresent Hardy","""Nevada Sen. Ruben Kihuen announces bid for Congress""","http://www.reviewjournal.com/politics/nevada-sen-ruben-kihuen-announces-bid-congress"
"Carol Shea-Porter","house","New Hampshire","1st","","Frank Guinta","""Shea-Porter announces she's running for US House again in 2016""","http://www.wmur.com/politics/sheaporter-announces-shes-running-again-in-2016/35370700"
"Ann Mclane Kuster","house","New Hampshire","2nd","","Ann McLane Kuster","""Kuster going for third term in US House, not a US Senate bid""","http://www.nh1.com/news/landrigan-steinhauser-kuster-going-for-third-term-in-us-house-not-a-us-senate-bid"
"Donald Norcross","house","New Jersey","1st","","Donald Norcross","",""
"David Cole","house","New Jersey","2nd","","Frank LoBiondo","",""
"Fred Lavergne","house","New Jersey","3rd","","Tom MacArthur","""Burlington County Democrats endorse Delanco resident to take on MacArthur""","http://www.burlingtoncountytimes.com/news/local/burlington-county-democrats-endorse-delanco-resident-to-take-on-macarthur/article_35870f7c-e1ad-11e5-9d5a-cbe43f5e48cb.html"
"Lorna Phillipson","house","New Jersey","4th","","Chris Smith","",""
"Josh Gottheimer","house","New Jersey","5th","","Scott Garrett","""Donors start backing Wyckoff man as potential Garrett challenger for Congress""","http://www.northjersey.com/news/donors-start-backing-wyckoff-man-as-potential-garrett-challenger-for-congress-1.1325275"
"Frank Pallone","house","New Jersey","6th","","Frank Pallone","",""
"Peter Jacob","house","New Jersey","7th","","Leonard Lance","",""
"Albio Sires","house","New Jersey","8th","","Albio Sires","",""
"Bill Pascrell","house","New Jersey","9th","","Bill Pascrell","",""
"Donald Payne Jr","house","New Jersey","10th","","Donald Payne, Jr.","",""
"Joseph Wenzel","house","New Jersey","11th","","Rodney Frelinghuysen","",""
"Bonnie Watson Coleman","house","New Jersey","12th","","Bonnie Watson Coleman","",""
"Michelle Luján Grisham","house","New Mexico","1st","","Michelle Luján Grisham","""NM secretary of state, US congressional candidates file""","http://www.lcsun-news.com/story/news/politics/2016/02/02/nm-secretary-state-us-congressional-candidates-file/79734148"
"Merrie Lee Soules","house","New Mexico","2nd","","Steve Pearce","""Merrie Lee Soules is running for Congress""","http://nmpoliticalreport.com/23356/merrie-lee-soules-is-running-for-congress"
"Ben Ray Luján","house","New Mexico","3rd","","Ben Ray Luján","",""
"Anna Throne-Holst","house","New York","1st","","Lee Zeldin","""Anna Throne-Holst plans to challenge Lee Zeldin for Congress; won't seek re-election as Southampton supervisor""","http://www.newsday.com/long-island/suffolk/southampton-supervisor-anna-throne-holst-to-challenge-congressman-lee-zeldin-1.10452234"
"Duwayne Gregory","house","New York","2nd","","Peter King","""DuWayne Gregory announces candidacy for NY""","https://www.fios1news.com/longisland/duwayne-gregory-congress"
"Tom Suozzi","house","New York","3rd","","Steve Israel","""Tom Suozzi, running for 3rd CD, hits the campaign trail""","http://www.newsday.com/long-island/politics/tom-suozzi-running-for-israel-s-seat-gets-endorsement-from-queens-borough-president-melinda-katz-1.11544086"
"Kathleen Rice","house","New York","4th","","Kathleen Rice","""Certified NY Congressonal Primary ballot""","http://www.elections.ny.gov/NYSBOE/download/law/Certification2016FedCongressionalPrimaryBallot.pdf"
"Gregory Meeks","house","New York","5th","","Gregory Meeks","""Filings for the 2016 Primary election (New York)""","http://www.elections.ny.gov:8080/reports/rwservlet?cmdkey=whofiled_primary"
"Grace Meng","house","New York","6th","","Grace Meng","""Filings for the 2016 Primary election (New York)""","http://www.elections.ny.gov:8080/reports/rwservlet?cmdkey=whofiled_primary"
"Nydia Velazquez","house","New York","7th","","Nydia Velazquez","""Filings for the 2016 Primary election (New York)""","http://www.elections.ny.gov:8080/reports/rwservlet?cmdkey=whofiled_primary"
"Hakeem Jeffries","house","New York","8th","","Hakeem Jeffries","""Filings for the 2016 Primary election (New York)""","http://www.elections.ny.gov:8080/reports/rwservlet?cmdkey=whofiled_primary"
"Yvette Clarke","house","New York","9th","","Yvette Clarke","""Filings for the 2016 Primary election (New York)""","http://www.elections.ny.gov:8080/reports/rwservlet?cmdkey=whofiled_primary"
"Jerry Nadler","house","New York","10th","","Jerry Nadler","""Filings for the 2016 Primary election (New York)""","http://www.elections.ny.gov:8080/reports/rwservlet?cmdkey=whofiled_primary"
"Richard Reichard","house","New York","11th","","Dan Donovan","""Democrat Richard Reichard to challenge Rep. Dan Donovan""","http://www.silive.com/news/index.ssf/2016/03/democrat_richard_reichard_to_c.html"
"Carolyn Maloney","house","New York","12th","","Carolyn Maloney","""Maloney Launches Reelection Campaign""","http://www.qgazette.com/news/2016-03-30/Front_Page/Maloney_Launches_Reelection_Campaign.html"
"Adriano Espaillat","house","New York","13th","","Charles Rangel","""Adriano Espaillat Says He's Running for Congress Again""","http://observer.com/2015/11/adriano-espaillat-says-hes-running-for-congress-again"
"Joe Crowley","house","New York","14th","","Joe Crowley","""Filings for the 2016 Primary election (New York)""","http://www.elections.ny.gov:8080/reports/rwservlet?cmdkey=whofiled_primary"
"José Serrano","house","New York","15th","","José Serrano","""Filings for the 2016 Primary election (New York)""","http://www.elections.ny.gov:8080/reports/rwservlet?cmdkey=whofiled_primary"
"Eliot Engel","house","New York","16th","","Eliot Engel","""Filings for the 2016 Primary election (New York)""","http://www.elections.ny.gov:8080/reports/rwservlet?cmdkey=whofiled_primary"
"Nita Lowey","house","New York","17th","","Nita Lowey","""Filings for the 2016 Primary election (New York)""","http://www.elections.ny.gov:8080/reports/rwservlet?cmdkey=whofiled_primary"
"Sean Patrick Maloney","house","New York","18th","","Sean Patrick Maloney","""Maloney leads all House Democrats in fund-raising""","http://www.capitalnewyork.com/article/albany/2015/04/8566206/maloney-leads-all-house-democrats-fund-raising"
"Zephyr Teachout","house","New York","19th","","Chris Gibson","""Teachout Launches Bid For NY-19""","http://www.nystateofpolitics.com/2016/01/teachout-launches-bid-for-ny-19"
"Paul Tonko","house","New York","20th","","Paul Tonko","""Filings for the 2016 Primary election (New York)""","http://www.elections.ny.gov:8080/reports/rwservlet?cmdkey=whofiled_primary"
"Mike Derrick","house","New York","21st","","Elise Stefanik","""Retired Army Col. Mike Derrick seeking Democratic nod to challenge Rep. Elise Stefanik""","http://auburnpub.com/blogs/eye_on_ny/retired-army-col-mike-derrick-seeking-democratic-nod-to-challenge/article_ed8e9f46-1ff1-11e5-8202-279fbd0038ee.html"
"Kim Myers","house","New York","22nd","","Richard Hanna","""Daughter of Dick's Sporting Goods founder to run for Congress""","http://www.syracuse.com/politics/index.ssf/2016/03/daughter_of_dicks_sporting_goods_founder_to_run_for_congress.html"
"John Plumb","house","New York","23rd","","Tom Reed","""Former White House military aide Plumb to challenge Rep. Tom Reed""","http://www.buffalonews.com/city-region/elections/former-white-house-military-aide-plumb-to-challenge-rep-tom-reed-20150708"
"Colleen Deacon","house","New York","24th","","John Katko","""Top Gillibrand aide to challenge Rep. John Katko in race for Congress""","http://www.syracuse.com/politics/index.ssf/2015/10/top_gillibrand_aide_to_challenge_rep_john_katko_in_race_for_congress.html"
"Louise Slaughter","house","New York","25th","","Louise Slaughter","""Louise Slaughter to seek re-election""","http://www.democratandchronicle.com/story/news/2015/03/31/louise-slaughter-mark-assini-congress-re-election/70697020"
"Brian Higgins","house","New York","26th","","Brian Higgins","""Filings for the 2016 Primary election (New York)""","http://www.elections.ny.gov:8080/reports/rwservlet?cmdkey=whofiled_primary"
"Diana Kastenbaum","house","New York","27th","","Chris Collins","""Batavia Business Owner Kastenbaum Running for U.S. Congress""","http://geneseesun.com/batavia-business-owner-kastenbaum-running-for-u-s-congress"
"G. K. Butterfield","house","North Carolina","1st","","G. K. Butterfield","",""
"John Mcneil","house","North Carolina","2nd","","Renee Ellmers","",""
"Ernest Reeves","house","North Carolina","3rd","","Walter Jones","",""
"David Price","house","North Carolina","4th","","David Price","",""
"Josh Brannon","house","North Carolina","5th","","Virginia Foxx","",""
"Pete Glidewell","house","North Carolina","6th","","Mark Walker","",""
"J. Wesley Casteen","house","North Carolina","7th","","David Rouzer","",""
"Thomas Mills","house","North Carolina","8th","","Richard Hudson","",""
"Christian Cano","house","North Carolina","9th","","Robert Pittenger","""Filing period opens for congressional, N.C. Supreme Court""","http://www.fayobserver.com/news/local/filing-period-opens-for-congressional-n-c-supreme-court/article_11eb4093-3f86-5b71-ac7e-7d2c45dc1dcd.html"
"Andy Millard","house","North Carolina","10th","","Patrick McHenry","",""
"Rick Bryson","house","North Carolina","11th","","Mark Meadows","""Election results made official on Canvass Day""","http://www.thesmokymountaintimes.com/view/full_story_free/27134965/article-Election-results-made-official-on-Canvass-Day?instance=lead_story"
"Alma Adams","house","North Carolina","12th","","Alma Adams","",""
"Bruce Davis","house","North Carolina","13th","","George Holding","",""
"Chase Iron Eyes","house","North Dakota","at-large","","Kevin Cramer","""Fort Yates attorney seeking Dem-NPL nod for Congress""","http://www.inforum.com/news/3999584-fort-yates-attorney-seeking-dem-npl-nod-congress"
"Michele Young","house","Ohio","1st","","Steve Chabot","""20 candidates file to run for Boehner's seat""","http://www.mydaytondailynews.com/news/news/local-govt-politics/20-candidates-file-to-run-for-boehners-seat/npmCc"
"William R. Smith","house","Ohio","2nd","","Brad Wenstrup","""This zombie campaign for Congress is giving Democrats fits""","http://www.cincinnati.com/story/news/politics/elections/2016/06/19/zombie-campaign-congress-giving-democrats-fits/82892598"
"Joyce Beatty","house","Ohio","3rd","","Joyce Beatty","""2016 Primary Certified Candidates List""","https://vote.franklincountyohio.gov/assets/downloads/election-information/2016//%281%29%20Primary%20Election%20-%20March%2015,%202016/%284%29%20Candidates%20and%20Issues/%281%29%202016%20Primary%20Certified%20Candidates%20List.pdf"
"Janet Garrett","house","Ohio","4th","","Jim Jordan","""Challenger seeks second run at Jordan""","http://chronicle.northcoastnow.com/2015/10/26/challenger-seeks-second-run-at-jordan"
"James L. Neu Jr","house","Ohio","5th","","Bob Latta","""Voters to have lots of choices in November""","https://www.toledoblade.com/Politics/2015/12/17/Voters-to-have-lots-of-choices-in-November.html"
"Michael Lorentz","house","Ohio","6th","","Bill Johnson","""Election: Our next sheriff? Tuscarawas County chief deputy among officeholders unopposed in primary""","http://www.timesreporter.com/article/20151216/NEWS/151219489/1994/NEWS"
"Roy Rich","house","Ohio","7th","","Bob Gibbs","""Rematches abound in Northeast Ohio congressional primary filings""","http://www.cleveland.com/open/index.ssf/2015/12/rematches_abound_in_congressional_primary_filings_in_northeast_ohio.html"
"Marcy Kaptur","house","Ohio","9th","","Marcy Kaptur","""Rematches abound in Northeast Ohio congressional primary filings""","http://www.cleveland.com/open/index.ssf/2015/12/rematches_abound_in_congressional_primary_filings_in_northeast_ohio.html"
"Robert Klepinger","house","Ohio","10th","","Mike Turner","""20 candidates file to run for Boehner's seat""","http://www.mydaytondailynews.com/news/news/local-govt-politics/20-candidates-file-to-run-for-boehners-seat/npmCc"
"Marcia Fudge","house","Ohio","11th","","Marcia Fudge","""Rematches abound in Northeast Ohio congressional primary filings""","http://www.cleveland.com/open/index.ssf/2015/12/rematches_abound_in_congressional_primary_filings_in_northeast_ohio.html"
"Ed Albertson","house","Ohio","12th","","Pat Tiberi","""2016 Primary Certified Candidates List""","https://vote.franklincountyohio.gov/assets/downloads/election-information/2016//%281%29%20Primary%20Election%20-%20March%2015,%202016/%284%29%20Candidates%20and%20Issues/%281%29%202016%20Primary%20Certified%20Candidates%20List.pdf"
"Tim Ryan","house","Ohio","13th","","Tim Ryan","""Rematches abound in Northeast Ohio congressional primary filings""","http://www.cleveland.com/open/index.ssf/2015/12/rematches_abound_in_congressional_primary_filings_in_northeast_ohio.html"
"Michael Wager","house","Ohio","14th","","David Joyce","""Rematches abound in Northeast Ohio congressional primary filings""","http://www.cleveland.com/open/index.ssf/2015/12/rematches_abound_in_congressional_primary_filings_in_northeast_ohio.html"
"Scott Wharton","house","Ohio","15th","","Steve Stivers","""Candidates line up for commissioner, sheriff spots""","http://www.chillicothegazette.com/story/news/local/2015/12/16/ross-county-2016-election-commissioner-sheriff/77422886"
"Keith Mundy","house","Ohio","16th","","Jim Renacci","""Rematches abound in Northeast Ohio congressional primary filings""","http://www.cleveland.com/open/index.ssf/2015/12/rematches_abound_in_congressional_primary_filings_in_northeast_ohio.html"
"Joshua Harris-Till","house","Oklahoma","2nd","","Markwayne Mullin","""Harris-Till seeking seat in Congress""","http://www.tahlequahdailypress.com/news/harris-till-seeking-seat-in-congress/article_7c0bc126-c511-11e5-9bb6-372d1d30d428.html"
"Frankie Robbins","house","Oklahoma","3rd","","Frank Lucas","""DailyKos Election Live Blog 6-28""","http://www.dailykos.com/story/2016/06/28/1543346/-Daily-Kos-Elections-June-28-primary-liveblog-1"
"Christina Owen","house","Oklahoma","4th","","Tom Cole","""DailyKos Election Live Blog 6-28""","http://www.dailykos.com/story/2016/06/28/1543346/-Daily-Kos-Elections-June-28-primary-liveblog-1"
"Tom Guild","house","Oklahoma","5th","","Steve Russell","""Democrat Guild says he'll run against U.S. Rep. Russell for 5th District seat""","http://www.reddirtreport.com/red-dirt-politics/democrat-guild-says-hell-run-against-us-rep-russell-5th-district-seat"
"Suzanne Bonamici","house","Oregon","1st","","Suzanne Bonamici","""Oregon - 2016 Presidential Primary Filing Deadlines""","https://secure.sos.state.or.us/orestar/cfFilings.do?sort=asc&cfSearchButtonName=sort&by=OFFICE"
"Jim Crary","house","Oregon","2nd","","Greg Walden","""Ashland-area resident running for Congress""","http://www.mailtribune.com/news/20160228/ashland-area-resident-running-for-congress"
"Earl Blumenauer","house","Oregon","3rd","","Earl Blumenauer","""Oregon - 2016 Presidential Primary Filing Deadlines""","https://secure.sos.state.or.us/orestar/cfFilings.do?sort=asc&cfSearchButtonName=sort&by=OFFICE"
"Peter Defazio","house","Oregon","4th","","Peter DeFazio","""Robinson, McKinney file for U.S. House District 4 Congress position""","http://www.nrtoday.com/news/20897738-113/robinson-mckinney-file-for-us-house-district-4"
"Kurt Schrader","house","Oregon","5th","","Kurt Schrader","""Oregon - 2016 Presidential Primary Filing Deadlines""","https://secure.sos.state.or.us/orestar/cfFilings.do?sort=asc&cfSearchButtonName=sort&by=OFFICE"
"Bob Brady","house","Pennsylvania","1st","","Bob Brady","""Unofficial Candidate Listing – Pre Ballot Lottery""","https://www.pavoterservices.state.pa.us/ElectionInfo/FooterLinkReport.aspx?ID=599"
"Dwight Evans","house","Pennsylvania","2nd","","Chaka Fattah","""Fattah concedes, Evans will be Democratic nominee in the 2nd""","http://www.philly.com/philly/news/politics/20160427_Fattah_concedes__Evans_will_be_Democratic_nominee_in_the_2nd_Congressional_District.html"
"Kerith Strano Taylor","house","Pennsylvania","5th","","Glenn Thompson","""Taylor to run again for Thompson's congressional seat""","http://www.goerie.com/taylor-to-run-again-for-thompsons-congressional-seat"
"Mike Parrish","house","Pennsylvania","6th","","Ryan Costello","""Parrish launches campaign for Congress in PA-6""","http://www.philly.com/philly/blogs/big_tent/Parrish-launches-campaign-for-Congress-in-PA-6.html"
"Mary Ellen Balchunis","house","Pennsylvania","7th","","Pat Meehan","""PA-7: Balchunis Crushes Golderer""","http://www.politicspa.com/pa-7-balchunis-crushes-golderer/74934"
"Steve Santarsiero","house","Pennsylvania","8th","","Mike Fitzpatrick","""PA-8: Santarsiero Wins Democratic Nomination""","http://www.politicspa.com/pa-8-santarsiero-wins-democratic-nomination/74850"
"Mike Molesevich","house","Pennsylvania","10th","","Tom Marino","",""
"Michael Marsicano","house","Pennsylvania","11th","","Lou Barletta","""Former Hazleton Mayor Marsicano declares run for Congress""","http://timesleader.com/news/373140/former-hazleton-mayor-marsicano-declares-run-for-congress"
"Erin Mcclelland","house","Pennsylvania","12th","","Keith Rothfus","""Harrison Democrat vows to run again""","http://triblive.com/neighborhoods/yourallekiskivalley/yourallekiskivalleymore/7083309-74/district-rothfus-mcclelland#axzz3YX0ReGsc"
"Brendan Boyle","house","Pennsylvania","13th","","Brendan Boyle","""Unofficial Candidate Listing – Pre Ballot Lottery""","https://www.pavoterservices.state.pa.us/ElectionInfo/FooterLinkReport.aspx?ID=599"
"Mike Doyle","house","Pennsylvania","14th","","Mike Doyle","""Unofficial Candidate Listing – Pre Ballot Lottery""","https://www.pavoterservices.state.pa.us/ElectionInfo/FooterLinkReport.aspx?ID=599"
"Rick Daugherty","house","Pennsylvania","15th","","Charlie Dent","""Unofficial Candidate Listing – Pre Ballot Lottery""","https://www.pavoterservices.state.pa.us/ElectionInfo/FooterLinkReport.aspx?ID=599"
"Christina Hartman","house","Pennsylvania","16th","","Joe Pitts","""PA-16: Democrat Christina Hartman to Seek House Seat""","http://www.politicspa.com/pa-16-democrat-christina-hartman-to-seek-house-seat/68193"
"Matt Cartwright","house","Pennsylvania","17th","","Matt Cartwright","""Deadline arrives to file for primary election""","http://citizensvoice.com/news/deadline-arrives-to-file-for-primary-election-1.2007555"
"David Cicilline","house","Rhode Island","1st","","David Cicilline","""Study: RI 'very likely' to lose US House seat""","http://wpri.com/2015/11/05/study-ri-very-likely-to-lose-us-house-seat-after-next-census"
"Christopher F. Young","house","Rhode Island","1st","","David Cicilline","""Rhode Island Secretary of State: Filed Candidates - 2016""","http://sos.ri.gov/candidates/search/"
"James Langevin","house","Rhode Island","2nd","","James Langevin","""Study: RI 'very likely' to lose US House seat""","http://wpri.com/2015/11/05/study-ri-very-likely-to-lose-us-house-seat-after-next-census"
"Steven Archer","house","Rhode Island","2nd","","James Langevin","""Rhode Island Secretary of State: Filed Candidates - 2016""","http://sos.ri.gov/candidates/search/"
"John D. Hamilton","house","Rhode Island","2nd","","James Langevin","""Rhode Island Secretary of State: Filed Candidates - 2016""","http://sos.ri.gov/candidates/search/"
"Dimitri Cherny","house","South Carolina","1st","","Mark Sanford","""Dimitri Cherny to challenge US Congressman Mark Sanford""","http://counton2.com/2016/01/13/dimitri-cherny-to-challenge-us-congressman-mark-sanford"
"Arik Bjorn","house","South Carolina","2nd","","Joe Wilson","""Fake Democrat? Black faces Bjorn, party in 2nd District primary""","http://www.thestate.com/news/politics-government/politics-columns-blogs/the-buzz/article82720012.html"
"Hosea Cleveland","house","South Carolina","3rd","","Jeff Duncan","""Candidate Listing for the 11/8/2016 Statewide General Election""","https://info.scvotes.sc.gov/Eng/Candidate/CandidateSearch.aspx?ElectionId=20026&QSHelperHash=8665765C53B5B7B5B0C52FEEDD145CD792A4A273"
"Chris Fedalei","house","South Carolina","4th","","Trey Gowdy","""Spartanburg native Chris Fedalei to challenge Gowdy""","http://www.goupstate.com/article/20160304/ARTICLES/160309856"
"Fran Person","house","South Carolina","5th","","Mick Mulvaney","""Former Joe Biden aide running for Congress in SC""","http://www.thestate.com/news/politics-government/politics-columns-blogs/the-buzz/article63101062.html"
"Jim Clyburn","house","South Carolina","6th","","Jim Clyburn","""Candidate Listing for the 11/8/2016 Statewide General Election""","https://info.scvotes.sc.gov/Eng/Candidate/CandidateSearch.aspx?ElectionId=20026&QSHelperHash=8665765C53B5B7B5B0C52FEEDD145CD792A4A273"
"Mal Hyman","house","South Carolina","7th","","Tom Rice","""Coker professor Mal Hyman announces bid for S.C. 7th District seat""","http://www.scnow.com/messenger/news/article_d5e21224-d0fe-11e5-b3f8-83432414fc67.html"
"Paula Hawks","house","South Dakota","at-large","","Kristi Noem","""Dem Paula Hawks starts House run against Kristi Noem""","http://www.capjournal.com/news/dem-paula-hawks-starts-house-run-against-kristi-noem/article_1c23a24c-39f2-11e5-a04a-f709b047304f.html"
"Alam Bohms","house","Tennessee","1st","","Phil Roe","""Filed Petitions - Tennessee""","http://tnsos.net/FiledPetitions.pdf"
"Stuart Starr","house","Tennessee","2nd","","Jimmy Duncan","""Filed Petitions - Tennessee""","http://tnsos.net/FiledPetitions.pdf"
"Melody Shekari","house","Tennessee","3rd","","Chuck Fleischmann","""Filed Petitions - Tennessee""","http://tnsos.net/FiledPetitions.pdf"
"Steven Reynolds","house","Tennessee","4th","","Scott DesJarlais","""Filed Petitions - Tennessee""","http://tnsos.net/FiledPetitions.pdf"
"Jim Cooper","house","Tennessee","5th","","Jim Cooper","""Filed Petitions - Tennessee""","http://tnsos.net/FiledPetitions.pdf"
"David Kent","house","Tennessee","6th","","Diane Black","""Filed Petitions - Tennessee""","http://tnsos.net/FiledPetitions.pdf"
"Tharon Chandler","house","Tennessee","7th","","Marsha Blackburn","""Filed Petitions - Tennessee""","http://tnsos.net/FiledPetitions.pdf"
"Rickey Hobson","house","Tennessee","8th","","Stephen Fincher","""Filed Petitions - Tennessee""","http://tnsos.net/FiledPetitions.pdf"
"Steve Cohen","house","Tennessee","9th","","Steve Cohen","""Filed Petitions - Tennessee""","http://tnsos.net/FiledPetitions.pdf"
"Shirley Mckellar","house","Texas","1st","","Louie Gohmert","""McKellar eying Gohmert's seat for the third time""","http://www.cbs19.tv/story/29956771/mckellar-eying-gohmerts-seat-for-the-third-time"
"Pat Bryan","house","Texas","2nd","","Ted Poe","""2016 March Primary Election Candidate Filings by County""","https://webservices.sos.state.tx.us/candidate-filing/cf-report.aspx"
"Adam Bell","house","Texas","3rd","","Sam Johnson","""Plano IT executive announces campaign for Congress""","http://starlocalmedia.com/planocourier/news/plano-it-executive-announces-campaign-for-congress/article_3ed55f14-9e75-11e5-99ad-377ba3da9bec.html"
"Ruby Fay Woolridge","house","Texas","6th","","Joe Barton","""Clock ticking for Texas' 2016 candidate filings""","http://www.star-telegram.com/news/politics-government/article49499495.html"
"James Cargas","house","Texas","7th","","John Culberson","""2016 March Primary Election Candidate Filings by County""","https://webservices.sos.state.tx.us/candidate-filing/cf-report.aspx"
"Al Green","house","Texas","9th","","Al Green","""2016 March Primary Election Candidate Filings by County""","https://webservices.sos.state.tx.us/candidate-filing/cf-report.aspx"
"Tawana Cadien","house","Texas","10th","","Michael McCaul","""2016 March Primary Election Candidate Filings by County""","https://webservices.sos.state.tx.us/candidate-filing/cf-report.aspx"
"Bill Bradshaw","house","Texas","12th","","Kay Granger","""2016 March Primary Election Candidate Filings by County""","https://webservices.sos.state.tx.us/candidate-filing/cf-report.aspx"
"Michael Cole","house","Texas","14th","","Randy Weber","""2016 March Primary Election Candidate Filings by County""","https://webservices.sos.state.tx.us/candidate-filing/cf-report.aspx"
"Vicente Gonzalez","house","Texas","15th","","Ruben Hinojosa","""2 announce intent to run for Congress""","http://www.themonitor.com/news/local/announce-intent-to-run-for-congress/article_b81c45a6-900e-11e5-b292-e3c400b0564b.html"
"Beto O'Rourke","house","Texas","16th","","Beto O'Rourke","""Congressman O'Rourke to seek re-election""","http://www.elpasotimes.com/story/news/2015/10/13/congressman-orourke-seek-reelection/73891780"
"William Matta","house","Texas","17th","","Bill Flores","""MCC department head to run for Flores' House seat""","http://www.wacotrib.com/news/elections/mcc-department-head-to-run-for-flores-house-seat/article_8832b18f-960b-5312-8053-ad59f77f4288.html"
"Sheila Jackson Lee","house","Texas","18th","","Sheila Jackson Lee","""2016 March Primary Election Candidate Filings by County""","https://webservices.sos.state.tx.us/candidate-filing/cf-report.aspx"
"Joaquin Castro","house","Texas","20th","","Joaquin Castro","""2016 March Primary Election Candidate Filings by County""","https://webservices.sos.state.tx.us/candidate-filing/cf-report.aspx"
"Tom Wakely","house","Texas","21st","","Lamar Smith","""2016 March Primary Election Candidate Filings by County""","https://webservices.sos.state.tx.us/candidate-filing/cf-report.aspx"
"Mark Gibson","house","Texas","22nd","","Pete Olson","""2016 March Primary Election Candidate Filings by County""","https://webservices.sos.state.tx.us/candidate-filing/cf-report.aspx"
"Pete Gallego","house","Texas","23rd","","Will Hurd","""Gallego to Seek Rematch With U.S. Rep. Hurd""","https://www.texastribune.org/2015/04/02/pette-gallego-will-run-against-will-hurd-again"
"Jan Mcdowell","house","Texas","24th","","Kenny Marchant","""Clock ticking for Texas' 2016 candidate filings""","http://www.star-telegram.com/news/politics-government/article49499495.html"
"Kathi Thomas","house","Texas","25th","","Roger Williams","""2016 March Primary Election Candidate Filings by County""","https://webservices.sos.state.tx.us/candidate-filing/cf-report.aspx"
